platform_id,currency_id,name,type,country_id
,f19ee5e2-eb8b-43ce-b695-7a545c61dd94,Kasikorn,Bank,aa7f739e-60a0-4ef1-86a6-63475ddb0171
,"13fb3c72-4227-4fa2-849a-b597a03d4494
f19ee5e2-eb8b-43ce-b695-7a545c61dd94",Paypal,Wallet,"aa7f739e-60a0-4ef1-86a6-63475ddb0171
a8891cb3-dca8-4d0e-a3bf-463f9ecce594
6835435b-f1b7-476a-a656-923ff3fb899b
63a46441-aaaa-44d8-9ec4-da98be874dc5
e61cf772-9ffe-4e8c-904d-5386814a499b
67a174c5-c318-45b5-b542-babb9bc7c750
e61cf772-9ffe-4e8c-904d-5386814a499b
a50e6d86-5de3-4015-b9c2-4579706278f2
4f4fc2f1-68f9-44b3-8770-6420e8396347
2eb05f50-cfab-45ca-9543-5f9061bc05ff
e98cc0b7-4196-44c6-b617-3016f45203fe
cf7fddf2-0113-40be-aaea-ae16b89d6d4e
d4b80f29-1865-44d0-9c6a-73a18cad565d
ea569644-f95e-47f3-a8a9-2202ad8cc31c
93fa14ce-e7cb-4014-b2d2-5b4cea619a3a
de59eb92-8ef0-4cc2-9c11-8845e86ac90e
f180eff2-d989-4b35-a10f-a9db56f0327c
b9aa5997-8f57-4189-890b-752e3db9d72e
eabb448c-e6ae-44bc-86b1-a30937e9bc6a
e705ea16-92b4-4702-98df-e53d146b8ffa
89416ae0-1dd5-44aa-b84b-132ce8b5456c
e7520116-89d3-4d48-98ea-3a6d3900858c
290a4f6c-4e16-4667-a34b-5c56394cb4c4
9aba9092-e8c6-47bb-8fc1-6fc574c24169
64dfea2f-f3da-4118-a004-4ab2c664c45a
4559120d-d006-4864-adb3-eed60bb9d244
aea8f8f5-742f-4566-9ca8-7e2981609983
c66b9b04-a505-4964-8a5d-34c571a8e149
272b95a5-71da-4164-b22a-f2c8406ab8d1
ae9e9353-8b0d-458b-9538-c595a7f002db
99ec2535-0d93-48d7-a041-374179246f8c
547a277e-1109-488a-beab-4d44adfc2db8
ced5fe8d-af35-4af1-94f5-c1bebcb730d6
06a31abd-42b9-4bce-86df-8c6810ed9860
a1252606-3942-4aba-a053-a3ccec76e9f5
d5344050-deec-4965-af33-0f169fabd0c3
f9f1e42b-ff9a-436e-a1f4-f91fb3381a3d
81bcbe86-bc53-4554-873d-df851a270153
2a819149-78d8-4af0-9d71-b62bb3c74ff0
884c2eb0-72bc-479e-a973-e13aa31fdc74
5476b9c8-42ab-49ac-9ee1-f57140fed531
7a3ef3cc-f344-4f1a-86a1-66a9f6341a47
7bdb6912-5f76-4d31-b244-862881861ef6
0e8c0a28-160d-43e4-a9b2-b5f8d9f9faf7
1311bf44-b096-4d23-9021-47e4e315da24
42d74c5e-b608-4d59-9a2f-9d2c46047c0c
61c2888b-8b6a-4536-830f-3a14e86a9cd5
2000d3fd-62f1-45e7-bbe7-536872bcc74e
49a5fe4a-b920-42b8-a246-c3c27d35e4d9"
,13fb3c72-4227-4fa2-849a-b597a03d4494,OpenBank,Bank,7bdb6912-5f76-4d31-b244-862881861ef6
,d5731592-e36d-44ae-a99d-e99121bef77f,TransferWise,Wallet,"63a46441-aaaa-44d8-9ec4-da98be874dc5
4f4fc2f1-68f9-44b3-8770-6420e8396347
2eb05f50-cfab-45ca-9543-5f9061bc05ff
e98cc0b7-4196-44c6-b617-3016f45203fe
cf7fddf2-0113-40be-aaea-ae16b89d6d4e
d4b80f29-1865-44d0-9c6a-73a18cad565d
ea569644-f95e-47f3-a8a9-2202ad8cc31c
b9aa5997-8f57-4189-890b-752e3db9d72e
89416ae0-1dd5-44aa-b84b-132ce8b5456c
9aba9092-e8c6-47bb-8fc1-6fc574c24169
4559120d-d006-4864-adb3-eed60bb9d244
272b95a5-71da-4164-b22a-f2c8406ab8d1
a1252606-3942-4aba-a053-a3ccec76e9f5
ced5fe8d-af35-4af1-94f5-c1bebcb730d6
d5344050-deec-4965-af33-0f169fabd0c3
f9f1e42b-ff9a-436e-a1f4-f91fb3381a3d
2a819149-78d8-4af0-9d71-b62bb3c74ff0
884c2eb0-72bc-479e-a973-e13aa31fdc74
1311bf44-b096-4d23-9021-47e4e315da24
aa7f739e-60a0-4ef1-86a6-63475ddb0171
42d74c5e-b608-4d59-9a2f-9d2c46047c0c
61c2888b-8b6a-4536-830f-3a14e86a9cd5
2000d3fd-62f1-45e7-bbe7-536872bcc74e
e61cf772-9ffe-4e8c-904d-5386814a499b
e61cf772-9ffe-4e8c-904d-5386814a499b
93fa14ce-e7cb-4014-b2d2-5b4cea619a3a
de59eb92-8ef0-4cc2-9c11-8845e86ac90e
f180eff2-d989-4b35-a10f-a9db56f0327c
eabb448c-e6ae-44bc-86b1-a30937e9bc6a
e705ea16-92b4-4702-98df-e53d146b8ffa
e7520116-89d3-4d48-98ea-3a6d3900858c
290a4f6c-4e16-4667-a34b-5c56394cb4c4
aea8f8f5-742f-4566-9ca8-7e2981609983
c66b9b04-a505-4964-8a5d-34c571a8e149
ae9e9353-8b0d-458b-9538-c595a7f002db
547a277e-1109-488a-beab-4d44adfc2db8
81bcbe86-bc53-4554-873d-df851a270153
7a3ef3cc-f344-4f1a-86a1-66a9f6341a47
5476b9c8-42ab-49ac-9ee1-f57140fed531
7bdb6912-5f76-4d31-b244-862881861ef6
0e8c0a28-160d-43e4-a9b2-b5f8d9f9faf7"
,"d5731592-e36d-44ae-a99d-e99121bef77f
973ed305-2840-4993-8c59-d4f8a78c02b1
351590c6-c358-4976-abf3-d3b15513668b
44660c9d-f5b7-4ec7-8d85-9ccbe70df287
84fa10ff-7999-4423-aabb-4c89f8004bd5
67f1d878-5314-49d7-8510-0606d204b475
1a77831e-192c-4408-9246-336e8a7af12e
4bc81eca-671b-4d83-b095-b9f756e49938
fc09e223-e64a-46a0-866d-fc27267e1c67
fa93b235-1271-40b3-84e3-43f64a5eb331
9805b90f-86ef-4df3-a657-e39b1eae5bb2
444cc8b9-aeeb-4d5f-b9ae-7c58870f597e
ff8cdc66-92e9-42e7-9f34-26d1e7e64550
f19ee5e2-eb8b-43ce-b695-7a545c61dd94
13fb3c72-4227-4fa2-849a-b597a03d4494
c52631a9-bb20-4109-ade8-af811b0d43c3
eb29d614-1507-4d2f-896b-9d94c6289c76",Revolut,Bank,"6fbb1f56-3682-4abc-9f8c-9501c6eb39e2
e61cf772-9ffe-4e8c-904d-5386814a499b
4f4fc2f1-68f9-44b3-8770-6420e8396347
cf7fddf2-0113-40be-aaea-ae16b89d6d4e
d4b80f29-1865-44d0-9c6a-73a18cad565d
93fa14ce-e7cb-4014-b2d2-5b4cea619a3a
ea569644-f95e-47f3-a8a9-2202ad8cc31c
de59eb92-8ef0-4cc2-9c11-8845e86ac90e
f180eff2-d989-4b35-a10f-a9db56f0327c
eabb448c-e6ae-44bc-86b1-a30937e9bc6a
e705ea16-92b4-4702-98df-e53d146b8ffa
e7520116-89d3-4d48-98ea-3a6d3900858c
290a4f6c-4e16-4667-a34b-5c56394cb4c4
aea8f8f5-742f-4566-9ca8-7e2981609983
c66b9b04-a505-4964-8a5d-34c571a8e149
ae9e9353-8b0d-458b-9538-c595a7f002db
547a277e-1109-488a-beab-4d44adfc2db8
a1252606-3942-4aba-a053-a3ccec76e9f5
f9f1e42b-ff9a-436e-a1f4-f91fb3381a3d
81bcbe86-bc53-4554-873d-df851a270153
2a819149-78d8-4af0-9d71-b62bb3c74ff0
7a3ef3cc-f344-4f1a-86a1-66a9f6341a47
5476b9c8-42ab-49ac-9ee1-f57140fed531
7bdb6912-5f76-4d31-b244-862881861ef6
0e8c0a28-160d-43e4-a9b2-b5f8d9f9faf7
1311bf44-b096-4d23-9021-47e4e315da24
63a46441-aaaa-44d8-9ec4-da98be874dc5
61c2888b-8b6a-4536-830f-3a14e86a9cd5"
3355232F-6E76-B54A-9EB6-550549245D44,13fb3c72-4227-4fa2-849a-b597a03d4494,RoboCash,Platform,aea8f8f5-742f-4566-9ca8-7e2981609983
D30BA49A-5A26-D843-BE9C-ACF893D9401E,13fb3c72-4227-4fa2-849a-b597a03d4494,Envestio,Platform,93fa14ce-e7cb-4014-b2d2-5b4cea619a3a
CD388E16-7707-5045-AA91-FDE9C45A08BE,13fb3c72-4227-4fa2-849a-b597a03d4494,PeerBerry,Platform,aea8f8f5-742f-4566-9ca8-7e2981609983
8425DF66-19E1-5E42-B02C-C6778D43CBAA,13fb3c72-4227-4fa2-849a-b597a03d4494,Grupeer,Platform,aea8f8f5-742f-4566-9ca8-7e2981609983
BE6B22C5-F473-584B-A497-C1F92D457DEB,"13fb3c72-4227-4fa2-849a-b597a03d4494
84fa10ff-7999-4423-aabb-4c89f8004bd5
9805b90f-86ef-4df3-a657-e39b1eae5bb2",iuvo,Platform,93fa14ce-e7cb-4014-b2d2-5b4cea619a3a
